title,japanese_title,english_title,type,episodes,status,aired,premiered,broadcast,source,duration,rating,score,ranked,popularity,members,favorites,image_url
Mousou Dairinin,妄想代理人,Paranoia Agent,TV,13,Finished Airing,"Feb 3, 2004 to May 18, 2004",Winter 2004,Saturdays at 00:00 (JST),,24 min. per ep.,R+ - Mild Nudity,7.66,#1399,#552,"440,381","5,881",https://cdn.myanimelist.net/r/50x70/images/anime/7/10240.jpg?s=82d5c366c9fa3ddbbd10b21a645f14ec
Meitantei Conan Movie 17: Zekkai no Private Eye,名探偵コナン 絶海の探偵,Detective Conan Movie 17: Private Eye in the Distant Sea,Movie,1,Finished Airing,"Apr 20, 2013",,,Manga,1 hr. 50 min.,G - All Ages,7.66,#1398,#3697,"40,995",17,https://cdn.myanimelist.net/r/50x70/images/anime/4/47419.jpg?s=30559764dc912fd66657fc9708f8f4a8
Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season,ラブライブ! 虹ヶ咲学園スクールアイドル同好会,Love Live! Nijigasaki High School Idol Club Season 2,TV,13,Finished Airing,"Apr 2, 2022 to Jun 25, 2022",Spring 2022,Saturdays at 22:00 (JST),,24 min. per ep.,PG-13 - Teens 13 or older,7.66,#1397,#3680,"41,298",443,https://cdn.myanimelist.net/r/50x70/images/anime/1586/121947.jpg?s=12dd98991eff39813c800aba9ddb2eee
Kuroko no Basket 3rd Season NG-shuu,黒子のバスケ3期 NG集,,Special,9,Finished Airing,"Apr 24, 2015 to Dec 24, 2015",,,Manga,2 min. per ep.,PG-13 - Teens 13 or older,7.66,#1396,#3427,"46,671",82,https://cdn.myanimelist.net/r/50x70/images/anime/1009/145188.jpg?s=83855b4c2b6217e8aa5837bc24df041b
Kitarou Tanjou: Gegege no Nazo,鬼太郎誕生 ゲゲゲの謎,,Movie,1,Finished Airing,"Nov 17, 2023",,,Manga,1 hr. 45 min.,R - 17+ (violence & profanity),7.66,#1395,#7499,"7,626",20,https://cdn.myanimelist.net/r/50x70/images/anime/1643/138278.jpg?s=a9f2c2d2694ef175d36c6ae54a3d1ac1
Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,キノの旅 -the Beautiful World- 病気の国 -For You-,,Movie,1,Finished Airing,"Apr 21, 2007",,,Light novel,28 min.,R - 17+ (violence & profanity),7.66,#1394,#3242,"51,538",31,https://cdn.myanimelist.net/r/50x70/images/anime/8/73906.jpg?s=4bcce76605111b499d2bf248d104ef9b
Kindaichi Shounen no Jikenbo Returns 2nd Season,金田一少年の事件簿R【リターンズ】,,TV,22,Finished Airing,"Oct 3, 2015 to Mar 26, 2016",Fall 2015,Saturdays at 17:30 (JST),Manga,24 min. per ep.,R - 17+ (violence & profanity),7.66,#1393,#6147,"12,493",31,https://cdn.myanimelist.net/r/50x70/images/anime/9/75726.jpg?s=89d5846de24aff557c68aa512cc92748
Jujutsu Kaisen 2nd Season Recaps,呪術廻戦,Jujutsu Kaisen Season 2 Recaps,TV Special,2,Finished Airing,"Aug 11, 2023 to Aug 18, 2023",,,Manga,24 min. per ep.,R - 17+ (violence & profanity),7.66,#1392,#4444,"27,931",189,https://cdn.myanimelist.net/r/50x70/images/anime/1190/137716.jpg?s=07ae215310c33d4c449cfa468d94d370
Initial D Battle Stage 2,頭文字〈イニシャル〉D BATTLE STAGE 2,,OVA,1,Finished Airing,"May 30, 2007",,,Manga,1 hr. 20 min.,PG-13 - Teens 13 or older,7.66,#1391,#4111,"33,174",44,https://cdn.myanimelist.net/r/50x70/images/anime/3/13167.jpg?s=c812e02a7c13671e98f9e2f28ca43f9c
Ichigo Mashimaro OVA,苺ましまろ OVA,Strawberry Marshmallow OVA,OVA,3,Finished Airing,"Feb 23, 2007 to Apr 25, 2007",,,4-koma manga,25 min. per ep.,PG-13 - Teens 13 or older,7.66,#1390,#4423,"28,169",22,https://cdn.myanimelist.net/r/50x70/images/anime/4/4325.jpg?s=e183827b7a56e495574f0c45991bf2a6
Hayate no Gotoku!!,ハヤテのごとく!!,Hayate the Combat Butler!!,TV,25,Finished Airing,"Apr 4, 2009 to Sep 19, 2009",Spring 2009,Saturdays at 01:23 (JST),Manga,24 min. per ep.,PG-13 - Teens 13 or older,7.66,#1389,#1981,"117,478",464,https://cdn.myanimelist.net/r/50x70/images/anime/1015/142749.jpg?s=ac3f50c700a70103f954a425d8d100c8
Hai to Gensou no Grimgar,灰と幻想のグリムガル,Grimgar: Ashes and Illusions,TV,12,Finished Airing,"Jan 11, 2016 to Mar 28, 2016",Winter 2016,Mondays at 00:30 (JST),Light novel,24 min. per ep.,R - 17+ (violence & profanity),7.66,#1388,#274,"764,034","6,487",https://cdn.myanimelist.net/r/50x70/images/anime/13/77976.jpg?s=8c71c6fcbf36ce3a81393156af3f21bd
